Bus,busmap
NL6-220,NL0 0
NL7-220,NL0 0
way/1099434374-220,NL0 0
way/1218950123-380,NL0 0
way/146901292-380,NL0 0
way/157902099-380,NL0 0
way/162176187-380,NL0 0
way/162179284-380,NL0 0
way/165242802-380,NL0 0
way/167695568-380,NL0 0
way/168037483-220,NL0 0
way/22984334-380,NL0 0
way/23096966-380,NL0 0
way/23135563-380,NL0 0
way/308181656-380,NL0 0
way/477949333-380,NL0 0
way/480742730-380,NL0 0
way/577158336-380,NL0 0
way/606842829-380,NL0 0
way/693745438-380,NL0 0
way/723528920-380,NL0 0
way/72888152-380,NL0 0
way/83423799-380,NL0 0
way/87177559-380,NL0 0
way/87207800-220,NL0 0
way/87354306-380,NL0 0
way/87358157-220,NL0 0
way/87448656-220,NL0 0
way/87792499-380,NL0 0
way/87794279-380,NL0 0
way/920127890-380,NL0 0
way/934114405-380,NL0 0
way/942640207-380,NL0 0
way/96382845-380,NL0 0
